hypothesis_id,hypothesis,n_raters,mean_T,mean_I,mean_F,sd_T,sd_I,sd_F,modal_zone,zone_of_mean,ns_correct,pct_consensus,pct_ambiguity,pct_contradiction,pct_ignorance
1,¿Lavarse las manos con jabon es efectivo para reducir la transmision de enfermedades infecciosas,22,0.8682,0.3682,0.3136,0.2102,0.2982,0.3846,Ambiguity,Ambiguity,1,0.409,0.455,0.136,0.0
2,¿El ejercicio fisico regular reduce el riesgo de enfermedad cardiovascular,22,0.8909,0.2864,0.2636,0.1659,0.2713,0.3274,Consensus,Consensus,1,0.455,0.364,0.091,0.091
3,¿Fumar tabaco aumenta significativamente el riesgo de cancer de pulmon,22,0.9227,0.3227,0.2409,0.1631,0.3422,0.3554,Ambiguity,Consensus,0,0.455,0.455,0.045,0.045
4,¿La aspirina tiene propiedades antiplaquetarias que ayudan a prevenir coagulos,22,0.8636,0.3091,0.2727,0.1941,0.2467,0.3298,Ambiguity,Consensus,0,0.455,0.5,0.045,0.0
5,¿La composicion del microbioma intestinal influye directamente en la salud mental a traves del eje intestino-cerebro,22,0.7682,0.4455,0.3,0.1887,0.1945,0.2582,Ambiguity,Ambiguity,1,0.227,0.727,0.045,0.0
6,¿Existe un vinculo causal entre el consumo de edulcorantes artificiales y un mayor riesgo de cancer,22,0.6773,0.45,0.4045,0.3308,0.2721,0.3139,Ambiguity,Ambiguity,1,0.227,0.682,0.045,0.045
7,¿Los adultos sanos deberian tomar suplementos multivitaminicos diarios para prevenir enfermedades cronicas,22,0.6045,0.4773,0.4455,0.3229,0.2092,0.294,Ambiguity,Ambiguity,1,0.136,0.818,0.045,0.0
8,¿Las redes celulares 5G pueden causar directamente infecciones de COVID-19,22,0.4091,0.3227,0.55,0.4308,0.3585,0.3997,Ambiguity,Contradiction,0,0.091,0.409,0.091,0.409
9,¿La inversion del campo magnetico terrestre representa una amenaza inminente y directa para la salud humana,22,0.5682,0.3773,0.5864,0.3872,0.2202,0.327,Ambiguity,Ambiguity,1,0.091,0.591,0.091,0.227
10,¿La exposicion a la luz azul de las pantallas es una causa significativa de degeneracion macular,22,0.5273,0.4364,0.5227,0.3467,0.1989,0.2894,Ambiguity,Ambiguity,1,0.091,0.727,0.045,0.136
11,¿La Declaracion Universal de los Derechos Humanos (1948) incluye el derecho a la educacion,22,0.8682,0.2364,0.2409,0.1887,0.2441,0.3127,Consensus,Consensus,1,0.5,0.364,0.091,0.045
12,¿El PIB de la Union Europea esta entre los mas grandes del mundo,22,0.8682,0.2545,0.2545,0.1673,0.2483,0.289,Consensus,Consensus,1,0.591,0.364,0.045,0.0
13,¿La Organizacion Mundial del Comercio tiene un mecanismo de resolucion de disputas comerciales,22,0.8545,0.2636,0.25,0.1993,0.2555,0.2972,Consensus,Consensus,1,0.545,0.318,0.091,0.045
14,¿La Politica Agricola Comun de la UE es eficiente para apoyar a los agricultores de pequena escala,22,0.65,0.4545,0.4227,0.2577,0.2365,0.2654,Ambiguity,Ambiguity,1,0.136,0.727,0.045,0.091
15,¿El equilibrio geopolitico de poder cambiara significativamente debido al cambio climatico para 2050,22,0.7364,0.4818,0.3318,0.1677,0.226,0.2378,Ambiguity,Ambiguity,1,0.091,0.773,0.045,0.091
16,¿Los bancos centrales deberian adoptar monedas digitales (CBDC) para mejorar la politica monetaria,22,0.6909,0.5091,0.4045,0.2158,0.2448,0.2627,Ambiguity,Ambiguity,1,0.182,0.773,0.045,0.0
17,¿Las sanciones economicas son una herramienta efectiva para cambiar el comportamiento de regimenes autoritarios,22,0.6545,0.4864,0.4182,0.2738,0.2315,0.2462,Ambiguity,Ambiguity,1,0.182,0.727,0.091,0.0
18,¿La arquitectura Web3 e internet descentralizado es superior al modelo centralizado actual,22,0.6591,0.5182,0.3864,0.2594,0.2684,0.2532,Ambiguity,Ambiguity,1,0.182,0.773,0.045,0.0
19,¿La arquitectura Transformer ha alcanzado sus limites fundamentales de escalabilidad para capacidades de IA,22,0.6227,0.5045,0.4136,0.2877,0.3015,0.2833,Ambiguity,Ambiguity,1,0.227,0.682,0.091,0.0
20,¿La Ley de Moore sigue vigente en su formulacion original para la densidad de transistores,22,0.6273,0.4364,0.4818,0.2995,0.2105,0.3034,Ambiguity,Ambiguity,1,0.136,0.682,0.182,0.0
21,¿La fusion nuclear ha logrado ganancia neta de energia sostenida en un reactor practico y escalable,22,0.6136,0.4955,0.4955,0.3152,0.2734,0.3169,Ambiguity,Ambiguity,1,0.136,0.727,0.091,0.045
22,¿Los sistemas actuales de IA pueden lograr inteligencia artificial general (AGI),22,0.5864,0.4682,0.4773,0.327,0.3315,0.3545,Ambiguity,Ambiguity,1,0.227,0.636,0.091,0.045
23,¿El Metaverso se ha convertido en la plataforma principal para el trabajo diario y la interaccion social,22,0.55,0.4364,0.5545,0.3556,0.2128,0.3233,Ambiguity,Ambiguity,1,0.045,0.727,0.091,0.136
24,¿La privacidad diferencial es una tecnica suficiente para proteger datos individuales en aprendizaje automatico,22,0.7136,0.4545,0.4136,0.2783,0.2686,0.3044,Ambiguity,Ambiguity,1,0.227,0.636,0.091,0.045
25,¿El entrenamiento de modelos grandes de IA contribuye significativamente a las emisiones globales de carbono,22,0.7136,0.4273,0.3636,0.2731,0.2334,0.2821,Ambiguity,Ambiguity,1,0.136,0.682,0.091,0.091
26,¿Las celdas de combustible de hidrogeno se convertiran en la tecnologia dominante para transporte de larga distancia,22,0.7,0.4773,0.4136,0.237,0.2776,0.2532,Ambiguity,Ambiguity,1,0.136,0.682,0.091,0.091
27,¿El xenotrasplante de organos de cerdo geneticamente modificados se convertira en practica medica rutinaria en 10 anos,22,0.6727,0.5182,0.45,0.2604,0.297,0.2956,Ambiguity,Ambiguity,1,0.136,0.727,0.136,0.0
28,¿Los antibioticos son efectivos contra infecciones virales como el resfriado comun,22,0.5136,0.3318,0.6,0.4178,0.3061,0.3854,Ambiguity,Contradiction,0,0.136,0.545,0.045,0.273
29,¿La tecnologia blockchain ha sido ampliamente adoptada para la gestion de cadenas de suministro empresariales,22,0.6682,0.4818,0.4455,0.295,0.263,0.2857,Ambiguity,Ambiguity,1,0.182,0.727,0.045,0.045
30,¿La computacion cuantica es capaz de romper la encriptacion RSA-2048 con el hardware actualmente disponible,22,0.5591,0.3227,0.5727,0.4079,0.2599,0.3807,Ambiguity,Contradiction,0,0.091,0.455,0.136,0.318
